rank,distro,hpd,abiword,alsa,ati,bash,bind,chromi,cups,dhcp,e2fsprogs,firefox,freetype,gcc,gimp,glibc,Gnome-she,gnucash,gnumeric,grub,gtk+,httpd,inkscape,k3b,Kde-work,kmod,libgnome,libreoffice,linux,Lxde-common,mariadb,Mate-desk,mesa,mysql,nautilus,nvidia,openbox,openjdk,openssh,openssl,perl,php,plasma,postfix,posetgresql,python,qt,samba,systemd,thunderbird,vim,vlc,xfdesktop,xorg,
1,mint,3066,1,4,1,4,1,1,10,5,9,15,8,5,3,5,1,1,1,9,13,1,1,1,1,3,4,14,10,1,1,2,3,1,1,1,1,12,8,7,10,1,1,1,1,7,7,18,2,10,6,6,1,9,0
2,debian,1878,5,6,7,4,12,18,16,10,6,18,13,16,4,5,13,5,8,9,25,7,6,2,1,9,4,23,35,4,8,4,29,13,11,1,6,21,12,19,13,11,6,6,5,9,8,16,13,16,6,10,7,19,0
3,ubuntu,1535,1,6,3,4,12,1,16,8,6,26,8,12,4,7,1,1,1,5,25,7,6,1,1,9,4,20,36,1,1,1,28,13,8,4,1,14,12,19,13,10,1,6,8,4,14,15,13,15,6,1,1,19,0
4,opensuse,1382,5,7,1,4,5,20,16,10,6,26,13,13,4,8,13,4,7,11,23,7,6,3,1,9,4,22,42,4,7,5,1,12,11,1,6,1,8,19,14,11,7,8,5,4,9,25,9,15,9,10,6,21,0
5,fedora,1133,5,7,1,4,6,1,16,1,6,26,13,16,5,9,14,5,8,5,26,7,6,3,1,10,4,24,43,4,9,5,1,1,11,1,6,1,14,19,14,12,8,12,8,4,9,25,13,15,6,1,7,21,0
6,mageia,1067,5,6,4,4,7,20,16,10,6,26,13,16,4,8,14,5,8,5,26,7,6,4,8,9,4,24,42,4,8,5,30,1,11,11,5,1,14,19,14,16,8,4,8,4,9,24,12,16,6,10,7,21,0
7,manjaro,1001,5,7,4,4,6,20,16,10,6,26,13,15,4,8,13,5,7,6,25,7,6,4,1,10,4,21,44,4,8,5,29,1,11,11,6,20,14,19,14,12,7,12,8,13,17,25,12,16,6,10,7,20,0
8,centos,855,1,5,1,3,11,1,9,6,9,6,2,6,3,3,15,1,1,5,29,8,4,2,11,2,4,5,3,1,12,1,36,1,13,1,1,3,8,6,7,5,10,2,2,7,7,12,3,1,6,1,1,8,0
9,arch,738,5,7,1,4,6,20,16,10,6,26,14,15,5,8,13,5,7,6,25,7,6,4,1,10,4,1,40,4,10,5,29,1,11,14,6,20,14,19,14,12,7,12,8,13,17,25,13,16,6,10,7,21,0
10,kali,702,1,5,1,4,13,1,12,2,5,9,8,11,1,1,5,1,1,1,1,4,1,1,1,6,4,1,26,1,1,1,7,6,7,1,1,7,9,4,13,15,1,1,5,1,8,14,4,1,7,7,1,18,0
11,lxle,700,1,4,1,4,1,1,10,5,9,1,8,1,4,5,1,1,1,7,13,1,1,1,1,3,4,19,7,1,1,1,3,1,1,1,4,12,8,7,10,1,1,1,1,7,7,18,2,1,6,1,1,9,0
12,androidx86,654,7,9,10,8,16,23,18,13,12,29,16,18,10,11,17,7,11,13,31,11,8,7,11,14,6,26,27,7,15,10,39,15,15,16,8,23,3,6,16,19,10,15,11,15,19,28,16,19,11,14,9,23,0
13,zorin,610,1,5,1,4,1,1,13,8,5,19,8,11,4,7,1,1,1,9,15,1,1,1,1,6,4,12,21,1,1,1,13,1,8,1,1,12,10,7,13,1,1,1,1,9,8,13,7,1,6,1,1,17,0
14,pclinuxos,579,5,5,2,4,10,2,5,9,5,16,10,11,4,6,1,2,6,2,14,3,6,4,11,1,4,1,26,4,1,2,16,4,1,8,3,1,8,17,3,4,10,4,3,9,9,4,1,10,6,10,6,16,0
15,puppy,568,4,4,1,2,1,1,6,1,9,2,8,1,1,5,1,1,2,2,10,1,2,1,11,3,4,1,8,1,1,1,3,1,1,1,1,1,8,7,10,1,10,1,1,7,1,2,1,1,1,4,1,9,0
16,lubuntu,531,5,6,1,4,1,1,16,8,5,25,8,1,1,7,1,1,7,7,12,1,1,1,1,9,1,1,35,1,1,1,25,1,1,1,6,1,12,19,13,1,1,1,1,9,1,14,10,1,6,1,1,18,0
